latitude,longitude,reflectivity_dbz,sweep_number,elevation_angle,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
23.239602,88.31872,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.715332,88.35866,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.427911,88.093435,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.143771,89.049168,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.548803,89.444437,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.83039,87.654143,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.850342,88.457033,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.215563,87.238124,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.901815,88.294046,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.51922,88.40913,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.838393,87.997953,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.330426,88.550747,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.058999,89.500155,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.561847,86.940601,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.676485,88.285196,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.048631,87.650929,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.517404,89.856438,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.707112,87.592963,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.950363,88.126066,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.128636,88.678697,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.847298,88.401866,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
24.759325,87.812899,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.899282,90.748994,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.423764,87.856202,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.71971,88.591203,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.147946,88.281315,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.071302,87.190438,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
24.588777,88.882431,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.197248,87.512297,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.005086,88.628097,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.973918,88.629173,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.303478,88.889127,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.91234,88.611399,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.438947,88.16019,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.981669,89.779153,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.83074,88.141306,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.083728,86.781432,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.159756,89.312592,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.890712,89.913783,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.187392,90.484349,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.060577,89.264545,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.419106,89.053903,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.875805,87.582087,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.78905,87.759799,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.309736,88.165645,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.757936,87.737327,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.048679,86.740095,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.001748,89.615069,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.947367,88.071513,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.669081,89.539731,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.024825,87.066512,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.709569,88.25541,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.642945,88.405632,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.035078,88.325457,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.870682,88.569646,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.75505,88.551714,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.103546,89.17145,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
22.192344,89.045437,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
23.336542,89.150407,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.408254,87.707194,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.501645,88.524052,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
20.647287,88.513324,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
21.900876,86.96777,59.5,0,0.5,302.432,Very Heavy,2025-04-27 00:22:33
